artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Skylar Grey,Love The Way You Lie - Part III (Original Demo),249933,False,2012,0,0.568,0.248,10,-11.544,1,0.0352,0.91,0.0,0.0732,0.232,83.012,acoustic
Boyce Avenue,Counting Stars / The Monster (feat. Carly Rose Sonenclar),222726,False,2014,0,0.73,0.44,4,-4.964,1,0.035,0.65,0.0,0.142,0.44,114.812,pop
Eric Clapton,Tears in Heaven,271760,False,1999,61,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,rock
jeremy messersmith,"A Girl, a Boy, and a Graveyard",187547,False,2010,1,0.347,0.136,1,-13.677,0,0.0346,0.77,7.47e-05,0.133,0.457,178.821,acoustic
Håkan Hellström,Gårdakvarnar och skit,330347,False,2005,43,0.276,0.59,9,-7.679,1,0.0268,0.513,2.8e-06,0.148,0.547,153.146,acoustic
Hozier,Cherry Wine - Live,239880,False,2013,31,0.504,0.0768,1,-17.099,1,0.0378,0.957,0.00111,0.0928,0.245,130.654,pop
Justin Bieber,Fall,248387,False,2012,0,0.566,0.771,11,-4.242,1,0.0535,0.282,0.0,0.104,0.591,82.763,pop
James Morrison,Up,218411,False,2011,0,0.306,0.653,11,-6.71,0,0.0364,0.451,0.0,0.53,0.358,70.739,pop
Corinne Bailey Rae,Put Your Records On,215360,False,2006,75,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,soul
Green Day,Wake Me up When September Ends,285653,False,2004,75,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,punk
Elliott Smith,Angeles,176827,False,1997,0,0.53,0.0993,4,-23.548,0,0.0549,0.86,0.2,0.153,0.588,118.139,rock
John Mayer,Gravity,245827,False,2006,71,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,acoustic
Coldplay,Clocks - Live in Sydney,332427,False,2003,37,0.493,0.727,5,-6.857,0,0.0324,0.608,0.0206,0.376,0.114,130.794,pop
Boyce Avenue,Briane,317867,False,2010,19,0.493,0.893,11,-4.761,1,0.0335,0.00143,0.0,0.165,0.369,113.969,pop
Anna Ternheim,Walking Aimlessly,231480,False,2011,0,0.541,0.302,6,-12.793,0,0.0282,0.78,0.0262,0.114,0.344,101.016,acoustic
Johnny Cash,Hurt,218587,False,2005,0,0.514,0.292,9,-11.768,0,0.0291,0.827,0.00223,0.0926,0.157,90.459,acoustic
The Goo Goo Dolls,Iris,289907,False,2007,74,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,acoustic
Biffy Clyro,Machines,236080,False,2007,43,0.644,0.337,7,-10.906,1,0.0295,0.606,0.0169,0.301,0.31,108.041,rock
Adele,Hometown Glory (Live at Hotel Cafe),228573,False,2008,0,0.436,0.353,1,-9.365,1,0.0312,0.922,0.00525,0.191,0.181,119.133,pop
Birdy,People Help the People,256236,False,2011,62,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254,pop
Nancy Sinatra,Bang Bang - My Baby Shot Me Down,160440,False,2003,0,0.458,0.12,5,-22.644,0,0.0512,0.984,0.0993,0.111,0.372,125.035,acoustic
The Chimes,I Still Haven't Found What I'm Looking For,242013,False,2009,33,0.614,0.476,1,-11.727,1,0.0492,0.125,2.55e-06,0.069,0.784,87.673,acoustic
Boyce Avenue,She Will Be Loved (feat. Tiffany Alvord),250653,False,2010,0,0.617,0.398,2,-5.939,1,0.0297,0.862,0.0,0.0765,0.34,103.128,pop
Mumford & Sons,I Gave You All,259133,False,2009,0,0.379,0.296,2,-12.949,0,0.0357,0.468,0.00166,0.11,0.0557,115.777,acoustic
John Mayer,Your Body Is a Wonderland,249627,False,2001,72,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,acoustic
Karen Souza,Strawberry Fields Forever (feat. Los Panchos),241427,False,2011,0,0.709,0.478,9,-10.87,0,0.0365,0.205,0.00799,0.099,0.58,174.058,acoustic
Korn,Creep - Live,231027,False,2007,0,0.484,0.534,0,-9.244,1,0.0642,0.628,0.00151,0.701,0.236,104.023,rock
Iron & Wine,Such Great Heights,251280,False,2009,0,0.61,0.275,6,-10.644,1,0.028,0.808,0.913,0.403,0.552,94.088,acoustic
Ron Pope,A Drop In The Ocean,276300,False,2010,24,0.437,0.452,5,-7.443,1,0.0395,0.801,0.0,0.914,0.473,69.81,acoustic
Joshua Radin,Only You,149013,False,2006,57,0.545,0.255,8,-14.844,1,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,acoustic
Justin Bieber,Somebody To Love,220920,False,2010,0,0.719,0.839,5,-5.235,1,0.0257,0.00241,0.0,0.228,0.636,129.97,pop
Train,Marry Me,205453,False,2009,0,0.366,0.269,0,-8.456,1,0.0287,0.829,1.67e-05,0.108,0.492,86.577,pop
Ed Sheeran,Lego House,185093,False,2011,55,0.592,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701,pop
Boyce Avenue,Unwritten (feat. Diamond White),231647,False,2014,0,0.415,0.336,8,-6.26,1,0.0406,0.662,0.0,0.107,0.284,195.083,pop
George Michael,Cowboys and Angels - Edit,274347,False,2011,15,0.532,0.639,1,-9.51,1,0.0265,0.05,0.000416,0.209,0.403,128.166,acoustic
City and Colour,Sometimes (I Wish),360880,False,2005,38,0.523,0.467,5,-7.713,0,0.0281,0.311,2.01e-05,0.34,0.135,129.953,acoustic
Jason Mraz,"I'm Yours - Live at the Charter One Pavilion, Chicago, IL, 8/13/2009",312800,False,2009,46,0.41,0.729,11,-4.464,1,0.0524,0.246,0.0,0.962,0.461,143.566,pop
Nirvana,Pennyroyal Tea,220543,False,1994,0,0.505,0.457,1,-8.036,0,0.0327,0.322,1.02e-06,0.11,0.0393,113.185,rock grunge
Alexi Murdoch,Orange Sky,379520,False,2002,0,0.685,0.15,2,-20.543,1,0.039,0.797,0.0461,0.1,0.125,124.956,acoustic
Kylie Minogue,All the Lovers - BBC Live Lounge Version,213493,False,2010,28,0.529,0.343,0,-8.812,1,0.034,0.755,1.7e-05,0.148,0.181,121.719,pop
Keaton Henson,In the Morning,241107,False,2013,25,0.455,0.17,2,-14.594,1,0.0484,0.892,0.192,0.217,0.227,73.014,acoustic
Norah Jones,Sunrise,200627,False,2004,70,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,acoustic
Joe Purdy,I Love the Rain the Most,278693,False,2004,28,0.483,0.256,8,-13.891,1,0.0335,0.797,0.00129,0.0675,0.582,139.904,acoustic
Boyce Avenue,Half of My Heart (feat. Savannah Outen),233861,False,2010,0,0.657,0.759,5,-6.711,1,0.0467,0.22,0.0,0.302,0.811,118.493,pop
Alex G,Monster,202975,False,2011,0,0.572,0.528,3,-7.297,0,0.0811,0.667,0.0,0.351,0.184,82.788,acoustic
Sea Wolf,Young Bodies,209267,False,2014,35,0.694,0.237,5,-16.391,1,0.0413,0.938,0.296,0.109,0.331,136.866,acoustic
ortoPilot,Make You Feel My Love,226114,False,2011,49,0.657,0.212,2,-10.391,1,0.0423,0.869,0.00746,0.11,0.292,75.91,acoustic
Paolo Nutini,Candy,298693,False,2009,45,0.612,0.601,7,-7.809,1,0.0421,0.373,0.0,0.156,0.368,125.164,acoustic
Lana Del Rey,Blue Jeans,209440,False,2012,59,0.558,0.837,3,-4.405,1,0.0633,0.418,0.0,0.0821,0.488,117.963,pop
John Mayer,Slow Dancing in a Burning Room,242000,False,2006,73,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,acoustic
José González,Heartbeats,160240,False,2011,0,0.552,0.15,3,-16.746,1,0.0347,0.974,0.731,0.0698,0.316,87.485,acoustic
Newton Faulkner,Teardrop,188947,False,2007,0,0.552,0.213,6,-13.522,1,0.0285,0.796,1.81e-05,0.133,0.161,74.968,acoustic
Justin Bieber,U Smile,196907,False,2010,0,0.705,0.605,1,-5.252,1,0.03,0.519,1.56e-06,0.117,0.419,112.506,pop
Ed Sheeran,Autumn Leaves - Deluxe Edition,200756,False,2011,56,0.555,0.257,10,-12.637,1,0.0299,0.892,1.42e-06,0.124,0.431,89.013,pop
Foo Fighters,My Hero - Live,291080,False,2006,0,0.312,0.812,4,-6.162,1,0.0566,0.0137,0.000405,0.96,0.184,134.414,rock
Moa Lignell,When I Held Ya,209280,False,2012,45,0.425,0.645,11,-6.108,1,0.0372,0.0289,0.0,0.145,0.418,153.939,acoustic
Phillip Phillips,Home,209227,False,2012,0,0.592,0.792,0,-5.884,1,0.0335,0.0215,0.0,0.159,0.293,121.001,acoustic
Paolo Nutini,New Shoes,203653,False,2007,65,0.748,0.735,8,-8.692,1,0.0903,0.47,1.09e-05,0.0851,0.854,150.04,acoustic
Chris Medina,What Are Words,187440,False,2011,0,0.596,0.252,0,-7.105,1,0.032,0.814,0.0,0.0894,0.38,123.848,acoustic
Mumford & Sons,White Blank Page,253107,False,2009,0,0.324,0.398,6,-9.811,0,0.0352,0.212,3e-05,0.692,0.299,113.165,acoustic
Anna Ternheim,Shoreline - Radio Version,212293,False,2005,48,0.357,0.108,7,-15.385,1,0.0363,0.992,0.000648,0.109,0.201,117.584,acoustic
The Weepies,World Spins Madly On,164213,False,2010,29,0.527,0.361,1,-11.214,1,0.0282,0.559,3.95e-05,0.152,0.337,107.867,acoustic
Boyce Avenue,Slide,224653,False,2009,0,0.545,0.37,7,-11.87,1,0.0285,0.286,0.0,0.147,0.572,107.931,pop
The Whitlams,No Aphrodisiac - Original,259493,False,1997,0,0.455,0.607,2,-8.27,0,0.039,0.355,8.27e-06,0.119,0.636,74.52,acoustic
Tyler Ward,I Won't Give Up,243163,False,2012,0,0.411,0.209,9,-10.629,1,0.0388,0.219,5.78e-06,0.189,0.0417,135.487,acoustic
The Lumineers,Slow It Down,307000,False,2012,0,0.428,0.064,1,-14.42,1,0.0374,0.929,0.0,0.0859,0.108,142.436,pop
Ben Howard,Diamonds,246773,False,2011,0,0.623,0.675,7,-10.132,1,0.0379,0.0845,0.0109,0.155,0.235,119.946,acoustic
Elliott Smith,Say Yes,139000,False,1997,0,0.499,0.0875,5,-20.383,1,0.05,0.871,0.000221,0.11,0.418,153.439,rock
Daniel Bedingfield,If You're Not The One,257333,False,2010,0,0.681,0.5,10,-8.854,1,0.0294,0.566,0.0,0.112,0.306,119.993,acoustic
Maia Hirasawa,The Worrying Kind,221920,False,2008,16,0.464,0.209,5,-10.147,1,0.0373,0.916,0.0056,0.0763,0.274,112.33,acoustic
Macy Gray,I Try,238067,False,2008,0,0.559,0.637,2,-7.495,1,0.0321,0.304,0.000195,0.0783,0.782,152.885,soul
Kurt Hugo Schneider,We Are Young,212758,False,2012,16,0.408,0.814,5,-4.26,1,0.0704,0.388,0.0,0.11,0.486,97.727,pop
John Mayer,Half of My Heart,250373,False,2009,63,0.681,0.593,5,-9.327,1,0.0251,0.435,0.000117,0.106,0.731,115.058,acoustic
Nirvana,Oh Me,206200,False,1994,0,0.536,0.529,8,-13.241,1,0.0923,0.716,0.0172,0.267,0.261,72.147,rock grunge
Triggerfinger,I Follow Rivers,216107,False,2012,0,0.839,0.499,7,-8.968,0,0.0475,0.0369,0.0,0.0191,0.696,110.007,acoustic
Michael Bolton,Fields of Gold (feat. Eva Cassidy),252773,False,2011,45,0.438,0.109,9,-14.196,1,0.031,0.976,0.000138,0.109,0.236,80.214,acoustic
Counting Crows,Mr. Jones,272733,False,2003,52,0.571,0.836,0,-5.556,1,0.0371,0.193,4.09e-06,0.182,0.73,141.608,rock
Paramore,Misguided Ghosts,181507,False,2009,55,0.567,0.266,0,-11.217,1,0.0343,0.73,4.91e-05,0.116,0.236,106.46,acoustic
Fleet Foxes,Mykonos,275307,False,2008,0,0.391,0.45,11,-9.251,1,0.0306,0.417,0.000335,0.14,0.344,121.946,folk
Adele,Someone Like You,285240,False,2011,3,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,pop
Mumford & Sons,Lovers' Eyes,321227,False,2012,0,0.269,0.332,2,-10.153,1,0.0331,0.0304,1.15e-05,0.0879,0.274,75.717,acoustic
Avicii,Levels - Radio Edit,199904,False,2011,0,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,pop edm
Victor Démé,Djôn'maya,249560,False,2008,0,0.731,0.319,1,-8.196,1,0.0416,0.834,4.48e-05,0.118,0.302,88.743,afrobeat
Rokia Traoré,Finini,310107,False,1998,25,0.737,0.317,8,-14.11,1,0.0325,0.837,0.00209,0.131,0.693,103.999,afrobeat
Fela Kuti,Shakara (Oloje),805733,False,2009,0,0.646,0.713,1,-6.626,1,0.0414,0.271,0.048,0.226,0.599,120.004,afrobeat
Ruff-N-Smooth,Swagger,283220,False,2011,37,0.747,0.78,9,-10.149,0,0.0398,0.23,0.0,0.11,0.915,109.991,afrobeat
Tinariwen,Alkhar Dessouf,293800,False,2009,0,0.732,0.179,0,-13.142,1,0.09,0.959,0.000456,0.129,0.366,85.071,afrobeat
Pharrell Williams,Happy,233305,False,2013,0,0.652,0.757,1,-6.819,1,0.153,0.286,0.0,0.0886,0.962,159.911,pop
Timaya,Sexy Ladies,3056,False,2013,0,0.0,0.0,0,-9.764,0,0.0,0.0,0.0,0.0,0.0,0.0,dancehall
Bombino,Amidinine,268640,False,2013,39,0.432,0.862,6,-6.088,0,0.0701,0.137,0.015,0.316,0.699,83.005,afrobeat
Ice Prince,Baby,227733,False,2011,0,0.761,0.723,5,-5.645,1,0.0409,0.141,0.0,0.138,0.859,107.005,afrobeat
Mavado,Never Believe You,231933,False,2005,0,0.953,0.685,1,-4.904,1,0.145,0.0849,0.0,0.206,0.657,120.071,dancehall
Habib Koité,I Ka Barra,300573,False,1995,29,0.635,0.927,10,-8.652,1,0.05,0.553,0.561,0.118,0.966,117.696,afrobeat
Jessy Matador,Décalé Gwada,175200,False,2008,45,0.844,0.943,1,-2.514,1,0.127,0.138,0.0,0.155,0.927,125.15,afrobeat
Youssou N'Dour,Set,225133,False,1994,11,0.731,0.684,5,-11.872,1,0.0504,0.0382,0.00033,0.0343,0.786,146.183,afrobeat
Oumou Sangaré,Iyo Djeli,396627,False,2009,0,0.593,0.734,10,-5.867,1,0.0413,0.488,7.13e-06,0.122,0.836,89.395,afrobeat
Rihanna,Diamonds,225200,False,2012,0,0.553,0.674,11,-6.057,0,0.045,0.00117,0.0,0.16,0.369,91.958,pop
Amadou & Mariam,I Follow You (Nia Na Fin),242427,False,2008,0,0.576,0.617,11,-5.317,0,0.0234,0.0626,8.74e-06,0.209,0.689,92.504,afrobeat
Magic System,Ambiance à l'africaine,183573,False,2010,21,0.851,0.773,9,-5.159,0,0.263,0.192,0.0,0.214,0.734,131.559,afrobeat
JAY-Z,Ni**as In Paris,219333,True,2011,83,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,afrobeat
P-Square,Roll It,257720,False,2008,4,0.954,0.806,8,-2.311,0,0.0829,0.364,0.0,0.104,0.974,115.0,afrobeat
Shakira,Loca,183693,False,2010,0,0.8,0.692,9,-5.57,0,0.0614,0.342,1.92e-06,0.0554,0.917,112.002,pop
Iyanya,Kukere,224836,False,2012,0,0.757,0.853,1,-4.392,1,0.0601,0.0179,0.00284,0.0452,0.965,130.058,afrobeat
Ali Farka Touré,Ai Du,429973,False,1994,0,0.57,0.225,5,-17.168,0,0.029,0.306,0.0586,0.0689,0.408,151.78,afrobeat
Tinariwen,Toumast,266707,False,2007,0,0.647,0.791,11,-6.042,0,0.0422,0.754,9.38e-05,0.122,0.675,143.825,afrobeat
Ladysmith Black Mambazo,King of Kings,247427,False,1987,30,0.395,0.0522,4,-25.057,1,0.0666,0.928,0.0,0.123,0.392,86.508,afrobeat
Rail Band,Mansa,392333,False,1995,20,0.489,0.432,7,-12.694,1,0.0705,0.215,0.0169,0.231,0.477,91.754,afrobeat
Amadou & Mariam,La Paix,257547,False,2005,0,0.659,0.716,9,-6.775,1,0.0364,0.922,0.00226,0.307,0.751,129.58,afrobeat
Don Omar,Dale Don Dale,214653,False,2004,0,0.825,0.852,6,-6.471,0,0.0789,0.0282,0.000264,0.131,0.813,95.028,reggaeton
Gyptian,Wine Slow,154671,False,2012,0,0.615,0.557,8,-8.698,1,0.286,0.693,0.0,0.16,0.425,119.845,dancehall
Rokia Traoré,Zen,274893,False,2008,17,0.681,0.458,5,-16.336,0,0.117,0.4,0.0561,0.372,0.861,126.193,afrobeat
Les Wanyika,Sina Makosa,497299,False,2010,30,0.643,0.669,9,-9.209,1,0.121,0.28,8.39e-05,0.0282,0.711,108.36,afrobeat
Tiken Jah Fakoly,Plus rien ne m'étonne - Live Paris / 2008,447360,False,2008,0,0.594,0.508,4,-10.084,0,0.037,0.503,0.000761,0.968,0.762,75.181,reggae
Ikechukwu,Critical,238576,False,2011,26,0.761,0.96,8,-2.993,1,0.0559,0.0154,0.00102,0.0566,0.939,105.983,afrobeat
Amadou & Mariam,Bozos,226787,False,2008,0,0.693,0.774,0,-4.116,1,0.0266,0.328,4.71e-06,0.124,0.935,110.001,afrobeat
Shakira,"Whenever, Wherever",196160,False,2001,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,pop
The Mgababa Queens,Maphuthi,162155,False,1975,0,0.843,0.719,10,-10.234,0,0.0666,0.521,8.64e-05,0.0461,0.966,102.664,afrobeat
Mulatu Astatke,I Faram Gami I Faram,139600,False,1969,0,0.744,0.502,5,-12.345,0,0.0625,0.935,0.288,0.915,0.908,104.183,afrobeat
King Sunny Ade,Sijuade,246893,False,2000,12,0.883,0.715,9,-8.41,0,0.0393,0.496,0.472,0.0734,0.961,135.593,afrobeat
Iyanya,Ekaette (feat. Tekno),202130,False,2013,0,0.657,0.982,10,-0.851,0,0.175,0.161,3.76e-06,0.0809,0.934,121.955,afrobeat
Toumani Diabaté,Djelika,432933,False,1995,0,0.672,0.48,0,-12.51,1,0.0493,0.834,0.848,0.0664,0.481,118.55,afrobeat
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),258343,False,2012,81,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,pop
Tinariwen,Lulla,227867,False,2009,11,0.417,0.754,2,-6.475,1,0.0588,0.0315,6.58e-05,0.111,0.763,127.688,afrobeat
Ice Prince,Juju,293840,True,2011,0,0.7,0.708,6,-5.846,0,0.254,0.213,0.0,0.0834,0.878,198.017,afrobeat
Ali Farka Touré,Kala Djula,207147,False,2010,0,0.365,0.43,4,-11.465,1,0.0352,0.768,0.797,0.116,0.786,150.64,afrobeat
Bracket,No Time,253413,False,2012,0,0.749,0.715,7,-10.257,0,0.153,0.125,0.0,0.071,0.935,108.048,afrobeat
Geoffrey Oryema,Makambo,300307,False,1990,0,0.543,0.136,5,-21.081,1,0.0326,0.823,0.494,0.112,0.276,95.404,afrobeat
Staff Benda Bilili,Mwana,411507,False,2009,0,0.498,0.866,1,-7.555,1,0.224,0.0724,1.45e-06,0.245,0.921,124.396,afrobeat
Youssou N'Dour,Don't Look Back,211907,False,2004,9,0.824,0.366,10,-11.223,0,0.0377,0.162,0.0346,0.106,0.422,179.887,afrobeat
Kanda Bongo Man,Sai,698027,False,2010,0,0.543,0.694,9,-14.223,1,0.0443,0.349,0.00076,0.186,0.822,130.692,afrobeat
Tinariwen,Tenere Dafeo Nikchan,291120,False,2004,5,0.479,0.27,7,-12.955,1,0.0463,0.985,0.00371,0.133,0.348,90.815,afrobeat
Toumani Diabaté,Queen Bee,304573,False,1999,0,0.494,0.48,7,-10.057,0,0.0339,0.916,0.004,0.0886,0.687,164.021,afrobeat
Johnny Haastrup,Greetings,374253,False,2008,0,0.693,0.872,9,-6.04,1,0.148,0.0693,0.0345,0.381,0.822,116.681,afrobeat
Miriam Makeba,The Click Song,153893,False,2010,0,0.598,0.487,9,-6.692,1,0.155,0.814,4.75e-05,0.308,0.716,134.647,afrobeat
His International Stars,Yabis,418320,False,1980,0,0.778,0.629,0,-10.503,1,0.0461,0.414,0.324,0.268,0.639,101.647,afrobeat
Eddy Kenzo,Sitya Loss,248477,False,2014,38,0.799,0.887,7,-4.358,1,0.14,0.0235,0.0,0.196,0.953,120.022,afrobeat
Djeneba Seck,Abiban,350107,False,2010,0,0.717,0.726,9,-6.529,1,0.0318,0.0945,0.00816,0.142,0.794,90.006,afrobeat
Djelimady Tounkara,Fanta bourama,342240,False,2013,0,0.595,0.657,9,-7.777,0,0.0277,0.633,0.124,0.106,0.651,108.954,afrobeat
Chiwoniso,Nguva Ye Kufara,278013,False,2008,0,0.815,0.756,6,-6.8,1,0.0408,0.835,6.71e-05,0.119,0.682,115.031,afrobeat
Youssou N'Dour,Sinebar,257907,False,1994,8,0.525,0.895,7,-10.749,1,0.0796,0.175,0.0048,0.221,0.638,147.317,afrobeat
Don Omar,Hasta Que Salga El Sol,245040,False,2012,0,0.355,0.959,4,-4.0,1,0.349,0.0269,0.00229,0.33,0.873,190.113,reggaeton
D'banj,Oliver Twist,234893,False,2012,0,0.843,0.9,8,-4.914,1,0.0668,0.379,1.11e-05,0.113,0.85,125.02,afrobeat
Amadou & Mariam,Unissons Nous - feat. Keziah Jones,256973,False,2008,0,0.655,0.832,7,-5.529,0,0.0397,0.0231,0.0,0.347,0.619,91.005,afrobeat
Cesária Evora,Tchintchirote,194490,False,1997,45,0.507,0.534,5,-9.465,0,0.04,0.704,1.82e-05,0.357,0.774,115.66,afrobeat
Robin Thicke,Blurred Lines,263053,False,2013,0,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,afrobeat
Umalali,méRua,192733,False,2008,0,0.846,0.333,4,-12.105,0,0.145,0.475,0.592,0.0853,0.746,108.322,afrobeat
Les Ambassadeurs,Mandjou,762480,False,2011,14,0.499,0.662,2,-4.282,0,0.0365,0.789,0.00119,0.0738,0.794,157.446,afrobeat
TOTO,Rosanna,331200,False,1982,71,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,rock
Sean Paul,Got 2 Luv U (feat. Alexis Jordan),196640,False,2011,28,0.605,0.793,7,-3.084,0,0.297,0.0825,0.0,0.124,0.647,184.032,dancehall pop
Ali Farka Touré,Savane,463267,False,2006,0,0.776,0.279,4,-10.45,0,0.0615,0.772,0.134,0.0567,0.509,135.866,afrobeat
Habib Koité,Barra,228920,False,2007,0,0.777,0.522,5,-11.397,0,0.0449,0.699,0.00569,0.0792,0.969,144.144,afrobeat
Tinariwen,Matadjem Yinmixan,345000,False,2007,0,0.674,0.692,7,-6.789,1,0.0347,0.852,0.234,0.0543,0.536,104.819,afrobeat
Vieux Farka Touré,Sangaré,279773,False,2007,0,0.717,0.65,5,-6.686,1,0.0332,0.532,9.64e-05,0.0566,0.39,108.022,afrobeat
Hugh Masekela,Grazing In The Grass,174067,False,1997,28,0.791,0.71,7,-6.604,0,0.0305,0.797,0.943,0.292,0.935,109.98,afrobeat
WizKid,Jaiye Jaiye (feat. Femi Kuti),246127,False,2013,25,0.646,0.978,9,-2.663,0,0.0602,0.24,0.0,0.11,0.789,118.004,afrobeat
Boubacar Traoré,Mariama Kaba,216853,False,2002,4,0.619,0.438,6,-11.322,1,0.0344,0.988,0.119,0.7,0.787,119.892,afrobeat
Mafikizolo,Khona,295813,False,2013,34,0.757,0.655,10,-7.17,0,0.049,0.0577,0.0426,0.189,0.448,125.016,afrobeat
Staff Benda Bilili,Avramandole,189360,False,2009,0,0.505,0.755,11,-6.922,0,0.302,0.0168,6.95e-05,0.218,0.836,160.654,afrobeat
Habib Koité,Din Din Wo,285827,False,1995,26,0.618,0.804,9,-7.182,0,0.0347,0.565,0.17,0.0639,0.886,100.279,afrobeat
Emmanuel Jal with Abdel Gadir Sallm,Baai,277533,False,2006,0,0.753,0.754,8,-12.916,1,0.0706,0.00791,0.0855,0.0544,0.968,100.015,afrobeat
Ali Farka Touré,Ledi Coumbe,194240,False,2006,0,0.516,0.449,7,-9.044,1,0.0466,0.729,0.176,0.155,0.755,79.692,afrobeat
Fela Kuti,Obe (Stew),193280,False,2009,0,0.71,0.866,10,-7.32,0,0.0605,0.238,0.0202,0.336,0.844,121.062,afrobeat
Amadou & Mariam,Djama,195240,False,2008,0,0.786,0.876,11,-6.032,0,0.0445,0.0773,5.56e-06,0.38,0.879,127.94,afrobeat
Gyptian,Hold You [Hold Yuh],233253,False,2010,33,0.668,0.632,8,-3.102,1,0.0574,0.312,0.0,0.0995,0.494,67.033,dancehall
Tinariwen,Takkest Tamidaret,296227,False,2011,0,0.694,0.302,4,-9.351,1,0.0415,0.879,0.000238,0.111,0.514,124.765,afrobeat
